,fo_r,fm_r,tau,bias,rmse,fo_err,fm_err,tau_err,nfl,niters,flag,success,datetime
0,0.167970427603828,0.187562969976825,286.93363822238143,0.05921778688770207,0.005338530912967689,0.0009359062993760056,0.005026364378507638,141.9908815879993,40,18,2,True,2016-07-06 18:04:04
1,0.20182826256992598,0.2146941667023428,315.7078033954494,0.04941364996635713,0.006489839698782716,0.0011505907967791888,0.006023363357124553,281.0290805869661,40,11,1,True,2016-07-06 18:04:17
2,0.17638054512469978,0.19247638041301482,152.97414089049047,0.05654807456292464,0.004425294488627112,0.0007411962548820568,0.004385454038169352,95.09053687018762,40,11,1,True,2016-07-06 18:04:29
3,0.17184611497358038,0.18441352845090891,508.78149861271777,0.05783586513232976,0.0033701663037814652,0.000639830858112523,0.0028459564399557886,210.78777158149612,40,10,1,True,2016-07-06 18:04:41
4,0.20384031798424268,0.2140054985722616,725.0123505392417,0.04881700290086884,0.006421717627630656,0.001333319791665125,0.004943932257828487,652.8860416339982,40,11,1,True,2016-07-06 18:04:53
5,0.18726363575207688,0.19987486487184192,845.1831650804589,0.05295469365777221,0.005250398525454,0.001146232598457374,0.0038761130893322764,488.52852725196266,40,7,1,True,2016-07-06 18:05:50
6,0.1790919389387857,0.19320841432223668,215.26856329145917,0.05568112812118463,0.004852673586201311,0.0008297886461556811,0.004713882693887396,147.2098362836763,40,9,1,True,2016-07-06 18:06:02
7,0.20416764601520487,0.23427394371493482,245.37440854229368,0.04868365858799977,0.006141206729981109,0.0010620541696619225,0.005891501634859472,95.38371409464372,40,11,2,True,2016-07-06 18:06:14
8,0.1815459737229259,0.20396184632742406,460.3594227534867,0.054580510852814505,0.004790202840172115,0.0008939263055371163,0.004143388861546651,156.06379536959918,40,13,2,True,2016-07-06 18:06:26
9,0.17926020695873526,0.19631789990469348,266.1633499781706,0.055541693963380497,0.0044265844603385415,0.0007699683714781621,0.004206117688029535,128.23471841104768,40,9,1,True,2016-07-06 18:06:38
10,0.20645523670494784,0.22493516315568798,438.69264823080897,0.04813765425385924,0.005635133350710244,0.0010436663271430765,0.004922328237789835,215.1927394443978,40,13,1,True,2016-07-06 18:06:51
11,0.18335481518306507,0.1944055916059611,491.94192205486866,0.05429732659643849,0.0048576721670009065,0.0009173009017564679,0.00413670001049466,337.1076269481048,40,35,2,True,2016-07-06 18:07:03
12,0.176785794273876,0.1991685571215117,177.1523323691317,0.056321270558556694,0.004249640188189584,0.0007172573253803196,0.004183670199782147,71.69199418062685,40,11,1,True,2016-07-06 18:07:15
13,0.20065015904942785,0.22603299264677917,308.58956284946885,0.04951181676439404,0.005483822352195063,0.0009690452610204104,0.005106801469937735,118.4261024407401,40,10,1,True,2016-07-06 18:07:27
14,0.18152210141468947,0.19481489352572842,396.7923691902303,0.05484613447483535,0.005157805128517974,0.0009399319597275488,0.00460165860739142,255.1395908523001,40,23,2,True,2016-07-06 18:07:39
15,0.17445398561131345,0.18698726369637483,597.3962399612356,0.05694372446125719,0.004360993489039283,0.0008577483027148251,0.003538030337192353,308.6972712313206,40,8,2,True,2016-07-06 18:07:51
16,0.20019665309030343,0.21223466090383855,432.57194919381794,0.04976526216432922,0.005754413305672839,0.0010637703898028624,0.005043730079940898,333.4373428854203,40,11,2,True,2016-07-06 18:08:04
17,0.18122511943329195,0.20158919513333093,826.6749873328533,0.0544007238885752,0.004464525550062445,0.0009662276868661048,0.0033084804458832677,252.3228723814489,40,10,1,True,2016-07-06 18:08:16
18,0.17248298937218187,0.1862545807386583,680.8855678696915,0.05749792527901469,0.004583259424045379,0.0009325834303670562,0.0035896976274353166,326.86690562089484,40,9,1,True,2016-07-06 18:08:28
19,0.201545493534413,0.22699878363234977,147.67971601295412,0.049437474847317586,0.0053576327343735335,0.0008964685806308662,0.005316129327444221,71.44035599112831,40,15,1,True,2016-07-06 18:08:40
20,0.1816805550695237,0.1873587430320166,3155.7746102247147,0.05438706004356116,0.004384076693326564,0.0034155599056524093,0.0022653894101054965,5049.304543808635,40,6,1,True,2016-07-06 18:08:52
21,0.20746418391237578,0.2231911858348417,489.3343864721064,0.04795479408265625,0.007136666352447017,0.0013480016840058669,0.0061068117861680015,347.42885780503354,40,28,2,True,2016-07-06 18:09:37
22,0.186603695334424,0.1971291776333814,348.56856904348973,0.053422624602995156,0.0044541428436096625,0.0007974678102279351,0.004071550414087099,252.9018492832817,40,16,2,True,2016-07-06 18:09:49
23,0.17997769360637045,0.19444071178560388,766.4683372629728,0.055045743016782285,0.00469196956161655,0.0009891036708502324,0.0035551770012727355,350.5839358203833,40,12,2,True,2016-07-06 18:10:01
24,0.2057722596831301,0.22553757376551567,306.1048161237455,0.0483937598579013,0.007258985752848193,0.0012840271111814539,0.006768648766924502,200.18820784165473,40,16,2,True,2016-07-06 18:10:13
25,0.18945702691996796,0.20463997984332136,324.73459713751487,0.052578712082940245,0.005829109768745999,0.0010358178225809184,0.005386719173040551,218.2786358678089,40,15,2,True,2016-07-06 18:10:26
26,0.20069755219342164,0.2153076160562538,816.3593199356577,0.04938937204982865,0.005501260383141462,0.0011865886251608735,0.004093392390665606,428.92390624521653,40,28,2,True,2016-07-06 18:11:11
27,0.18202465577761295,0.20088975766401368,369.8707179993795,0.054578491613514926,0.00393834517109995,0.000710436632505562,0.0035587849184231645,130.0260662570066,40,9,1,True,2016-07-06 18:11:23
28,0.1717915130476576,0.18688011782066732,351.36196999509446,0.05790711232693747,0.003908337882544802,0.0007002998611739573,0.0035642940165463107,155.54548094616118,40,11,1,True,2016-07-06 18:11:35
