,fo,fm,sigma,fvfm,ro,rsq,bias,chi,fo_err,fm_err,sigma_err,ro_err,nfl,datetime
0,0.5743204562928489,0.8335154045320623,364.01912096360127,0.3109659963449939,0.4671433640664958,0.968575448649003,0.012429949204034127,0.013534509415108963,0.009103518850497283,0.0012127626400618562,10.976670197372034,0.06066883826698913,100.0,2010-07-27 06:18:52
1,0.5609959387719379,0.8297977188019874,380.0326111980356,0.32393651360976206,0.45474989414861045,0.9662933309942476,0.012484966818964157,0.014836988670635157,0.00999754214655755,0.0012623290702589987,12.027870405373246,0.06448476714031999,100.0,2010-07-27 06:19:27
2,0.5691109793053978,0.8220065325912661,438.5351129531009,0.3076563789446402,0.3207323364094308,0.9529746363420516,0.01250268317679378,0.01390309185953573,0.011798807105872472,0.0012469751986850788,17.64385574752817,0.09444697326220629,100.0,2010-07-27 06:20:02
3,0.5695033898202122,0.8665047245507602,370.3537567986365,0.3427578942336737,0.43648377713795816,0.9801293588903872,0.011984867625228834,0.0096281193360227,0.008060125391349666,0.0010635910748604549,8.829374359925808,0.049870702119606175,100.0,2010-07-27 06:20:37
4,0.5587579477503549,0.8731921023020432,363.3286196152384,0.3600973413785222,0.2930060505239504,0.9764197797810665,0.011921979614877056,0.012099638882134367,0.010069640102817261,0.001242050227335927,10.351964545289079,0.06874524400935492,100.0,2010-07-27 06:21:12
5,0.5538021355928928,0.8571697462128439,363.58234086011237,0.35391777645010564,0.26680736007744216,0.9768148704132239,0.012131556945170298,0.011064850335839422,0.009725682204557507,0.0011841992682973157,10.409125242061213,0.07071929158914465,100.0,2010-07-27 06:21:47
6,0.5685887079786602,0.8700225564261402,368.4177176729056,0.3464667050538361,0.24834680964922187,0.9775581848439506,0.011931560072311437,0.009742454464046903,0.00933895921844121,0.0011444531421855332,10.337131875257326,0.07068030762282237,100.0,2010-07-27 06:22:22
7,0.5455493083294661,0.8588035727466801,356.0096532197767,0.3647565920287736,0.1949558081205143,0.9765116542135447,0.012133130654940854,0.011841966919420861,0.010435538253078283,0.001254059998429598,10.65865706587249,0.07867008379097892,100.0,2010-07-27 06:22:57
8,0.5653023562184295,0.861943118266553,367.31073884713413,0.3441535244746723,0.3064518542594201,0.9775176145447596,0.012042558781875358,0.009901518501404128,0.009040272058697436,0.0011265399358479798,10.037146903873118,0.06535144115616245,100.0,2010-07-27 06:23:32
9,0.5531079175638176,0.8707380432718483,367.8338062360816,0.36478264405964994,0.23015708463610188,0.9782294411611007,0.011949871829290417,0.01078268855618779,0.009938594940197179,0.001186139678613943,10.357988071874496,0.0718380550942229,100.0,2010-07-27 06:24:07
10,0.5576502743625619,0.8750555131055462,354.9793678786197,0.3627258316635507,0.2216348426319267,0.9777280859041567,0.011905539197733893,0.01130851457618292,0.010100581962933388,0.0012352765084157613,10.17354735593869,0.0738201137602275,100.0,2010-07-27 06:24:42
11,0.555117540509974,0.862043461817119,363.2527103578438,0.35604460204381067,0.32082443610727546,0.9764698297094985,0.012066674743160968,0.011962292798934127,0.009790863574637898,0.0012017066498610863,10.231079252074393,0.0661284596897229,100.0,2010-07-27 06:25:17
12,0.5459663244917469,0.8560908053638892,366.87980013674047,0.36225652574357586,0.18042073481431953,0.9710498377892481,0.012148996686066735,0.013986446762657067,0.011901956337321051,0.001344274381122035,12.45942355077703,0.09015075114327588,100.0,2010-07-27 06:25:52
13,0.5675743389672347,0.8689807578762456,362.94029239618675,0.34685050983825716,0.2796140381693018,0.981925680314623,0.011953375859637794,0.00839845210767055,0.008370389419945288,0.0010310931457258809,9.023925065908578,0.06089356186268151,100.0,2010-07-27 06:26:27
14,0.5668198552360473,0.8756544770337926,358.65639579159927,0.3526900505823909,0.2507440559614963,0.9706822917645276,0.011876655341746596,0.014029355248938594,0.0113163057632473,0.001370969218307903,11.711428354420415,0.0818704257579132,100.0,2010-07-27 06:27:02
15,0.5521486683622744,0.8625697665079286,369.9219595664564,0.35987940940983687,0.21417905039591076,0.9774282964174531,0.012050323360708298,0.01052513278693749,0.01003408141794966,0.0011753968898196932,10.698662820175496,0.07481137216702707,100.0,2010-07-27 06:27:37
16,0.5468868759883437,0.8438826012868089,356.95113927174043,0.35193962388321093,0.17949740110121545,0.9749302062803229,0.012321342931609214,0.011265344865127038,0.010227204944871593,0.0012239143862006426,11.108858510842222,0.08292731505169687,100.0,2010-07-27 06:28:12
17,0.5624716602103025,0.8601341865937949,374.12997625555636,0.34606521984931393,0.3347628606530253,0.969221040605244,0.01206404074090063,0.014213446404107372,0.010834784548636501,0.001310525248166519,11.974105854750368,0.07411558074612314,100.0,2010-07-27 06:28:47
18,0.5503933679766447,0.8561498069834392,378.15966019083595,0.35712960104972474,0.20252797872142975,0.9711815660138396,0.012125344295404341,0.013369334973081796,0.01170737345208422,0.0012886951270365003,12.706054512596664,0.08726438898968211,100.0,2010-07-27 06:29:22
19,0.5414274978544549,0.8440139735185498,370.61014701967446,0.35850884601194893,0.23859908203293403,0.9774894680231783,0.012313097142936743,0.010150758359998494,0.009527566975627675,0.0011406812539967606,10.502008914849231,0.07195222267556654,100.0,2010-07-27 06:29:57
20,0.5593626791732649,0.8464067405805314,362.6170885009903,0.33913253243988756,0.264088790182907,0.969257098734643,0.012259587491668052,0.013342399537479347,0.010741459326540472,0.0012909050602442388,12.062037153455089,0.08253668066007182,100.0,2010-07-27 06:30:32
