,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
355,76,0.201327,2016-07-06 18:04:29,2.0,152,0.0002636,2
356,77,0.20411400000000002,2016-07-06 18:04:29,2.0,154,0.0002636,2
357,78,0.200024,2016-07-06 18:04:29,2.0,156,0.0002636,2
358,79,0.200733,2016-07-06 18:04:29,2.0,158,0.0002636,2
359,80,0.194154,2016-07-06 18:04:29,2.0,160,0.0002636,2
360,81,0.209209,2016-07-06 18:04:29,2.0,162,0.0002636,2
361,82,0.196644,2016-07-06 18:04:29,2.0,164,0.0002636,2
362,83,0.19428199999999998,2016-07-06 18:04:29,2.0,166,0.0002636,2
363,84,0.20074,2016-07-06 18:04:29,2.0,168,0.0002636,2
364,85,0.201624,2016-07-06 18:04:29,2.0,170,0.0002636,2
365,86,0.203925,2016-07-06 18:04:29,2.0,172,0.0002636,2
366,87,0.196927,2016-07-06 18:04:29,2.0,174,0.0002636,2
367,88,0.21011300000000002,2016-07-06 18:04:29,2.0,176,0.0002636,2
368,89,0.189126,2016-07-06 18:04:29,2.0,178,0.0002636,2
369,90,0.202845,2016-07-06 18:04:29,2.0,180,0.0002636,2
370,91,0.18696,2016-07-06 18:04:29,2.0,182,0.0002636,2
371,92,0.20462,2016-07-06 18:04:29,2.0,184,0.0002636,2
372,93,0.19409300000000002,2016-07-06 18:04:29,2.0,186,0.0002636,2
373,94,0.202798,2016-07-06 18:04:29,2.0,188,0.0002636,2
374,95,0.200693,2016-07-06 18:04:29,2.0,190,0.0002636,2
375,96,0.195395,2016-07-06 18:04:29,2.0,192,0.0002636,2
376,97,0.198425,2016-07-06 18:04:29,2.0,194,0.0002636,2
377,98,0.197629,2016-07-06 18:04:29,2.0,196,0.0002636,2
378,99,0.19154200000000002,2016-07-06 18:04:29,2.0,198,0.0002636,2
379,100,0.2068,2016-07-06 18:04:29,2.0,200,0.0002636,2
380,101,0.19231800000000002,2016-07-06 18:04:29,2.0,350,0.0002636,2
381,102,0.18273599999999998,2016-07-06 18:04:29,2.0,502,0.0002636,2
382,103,0.179342,2016-07-06 18:04:29,2.0,657,0.0002636,2
383,104,0.177155,2016-07-06 18:04:29,2.0,814,0.0002636,2
384,105,0.169942,2016-07-06 18:04:29,2.0,973,0.0002636,2
385,106,0.178694,2016-07-06 18:04:29,2.0,1134,0.0002636,2
386,107,0.178073,2016-07-06 18:04:29,2.0,1298,0.0002636,2
387,108,0.177763,2016-07-06 18:04:29,2.0,1465,0.0002636,2
388,109,0.183397,2016-07-06 18:04:29,2.0,1634,0.0002636,2
