,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
0,1,0.15371600000000002,2016-07-06 18:04:04,0.0,2,0.000312,3
1,2,0.163933,2016-07-06 18:04:04,0.0,4,0.000312,3
2,3,0.16112200000000002,2016-07-06 18:04:04,0.0,6,0.000312,3
3,4,0.15853399999999998,2016-07-06 18:04:04,0.0,8,0.000312,3
4,5,0.158494,2016-07-06 18:04:04,0.0,10,0.000312,3
5,6,0.159993,2016-07-06 18:04:04,0.0,12,0.000312,3
6,7,0.1631,2016-07-06 18:04:04,0.0,14,0.000312,3
7,8,0.171612,2016-07-06 18:04:04,0.0,16,0.000312,3
8,9,0.162827,2016-07-06 18:04:04,0.0,18,0.000312,3
9,10,0.163938,2016-07-06 18:04:04,0.0,20,0.000312,3
10,11,0.161498,2016-07-06 18:04:04,0.0,22,0.000312,3
11,12,0.167034,2016-07-06 18:04:04,0.0,24,0.000312,3
12,13,0.174189,2016-07-06 18:04:04,0.0,26,0.000312,3
13,14,0.158556,2016-07-06 18:04:04,0.0,28,0.000312,3
14,15,0.16863599999999998,2016-07-06 18:04:04,0.0,30,0.000312,3
15,16,0.165096,2016-07-06 18:04:04,0.0,32,0.000312,3
16,17,0.178676,2016-07-06 18:04:04,0.0,34,0.000312,3
17,18,0.165614,2016-07-06 18:04:04,0.0,36,0.000312,3
18,19,0.173072,2016-07-06 18:04:04,0.0,38,0.000312,3
19,20,0.165432,2016-07-06 18:04:04,0.0,40,0.000312,3
20,21,0.17916600000000002,2016-07-06 18:04:04,0.0,42,0.000312,3
21,22,0.170882,2016-07-06 18:04:04,0.0,44,0.000312,3
22,23,0.177923,2016-07-06 18:04:04,0.0,46,0.000312,3
23,24,0.172826,2016-07-06 18:04:04,0.0,48,0.000312,3
24,25,0.180295,2016-07-06 18:04:04,0.0,50,0.000312,3
25,26,0.175706,2016-07-06 18:04:04,0.0,52,0.000312,3
26,27,0.182809,2016-07-06 18:04:04,0.0,54,0.000312,3
27,28,0.180118,2016-07-06 18:04:04,0.0,56,0.000312,3
28,29,0.174913,2016-07-06 18:04:04,0.0,58,0.000312,3
29,30,0.17062,2016-07-06 18:04:04,0.0,60,0.000312,3
30,31,0.182028,2016-07-06 18:04:04,0.0,62,0.000312,3
31,32,0.172992,2016-07-06 18:04:04,0.0,64,0.000312,3
32,33,0.181777,2016-07-06 18:04:04,0.0,66,0.000312,3
33,34,0.169326,2016-07-06 18:04:04,0.0,68,0.000312,3
34,35,0.187148,2016-07-06 18:04:04,0.0,70,0.000312,3
35,36,0.18184,2016-07-06 18:04:04,0.0,72,0.000312,3
36,37,0.184007,2016-07-06 18:04:04,0.0,74,0.000312,3
37,38,0.182239,2016-07-06 18:04:04,0.0,76,0.000312,3
38,39,0.179309,2016-07-06 18:04:04,0.0,78,0.000312,3
39,40,0.178066,2016-07-06 18:04:04,0.0,80,0.000312,3
40,41,0.185745,2016-07-06 18:04:04,0.0,82,0.000312,3
41,42,0.176652,2016-07-06 18:04:04,0.0,84,0.000312,3
42,43,0.177844,2016-07-06 18:04:04,0.0,86,0.000312,3
43,44,0.17741600000000002,2016-07-06 18:04:04,0.0,88,0.000312,3
44,45,0.182667,2016-07-06 18:04:04,0.0,90,0.000312,3
45,46,0.186048,2016-07-06 18:04:04,0.0,92,0.000312,3
46,47,0.187513,2016-07-06 18:04:04,0.0,94,0.000312,3
47,48,0.183351,2016-07-06 18:04:04,0.0,96,0.000312,3
48,49,0.178978,2016-07-06 18:04:04,0.0,98,0.000312,3
49,50,0.181658,2016-07-06 18:04:04,0.0,100,0.000312,3
50,51,0.17823699999999998,2016-07-06 18:04:04,0.0,102,0.000312,3
51,52,0.183305,2016-07-06 18:04:04,0.0,104,0.000312,3
52,53,0.183123,2016-07-06 18:04:04,0.0,106,0.000312,3
53,54,0.17357899999999998,2016-07-06 18:04:04,0.0,108,0.000312,3
54,55,0.171812,2016-07-06 18:04:04,0.0,110,0.000312,3
55,56,0.191886,2016-07-06 18:04:04,0.0,112,0.000312,3
56,57,0.176538,2016-07-06 18:04:04,0.0,114,0.000312,3
57,58,0.184793,2016-07-06 18:04:04,0.0,116,0.000312,3
58,59,0.178151,2016-07-06 18:04:04,0.0,118,0.000312,3
59,60,0.18393800000000002,2016-07-06 18:04:04,0.0,120,0.000312,3
60,61,0.174423,2016-07-06 18:04:04,0.0,122,0.000312,3
61,62,0.17806,2016-07-06 18:04:04,0.0,124,0.000312,3
62,63,0.199349,2016-07-06 18:04:04,0.0,126,0.000312,3
63,64,0.184383,2016-07-06 18:04:04,0.0,128,0.000312,3
64,65,0.190574,2016-07-06 18:04:04,0.0,130,0.000312,3
65,66,0.187878,2016-07-06 18:04:04,0.0,132,0.000312,3
66,67,0.180552,2016-07-06 18:04:04,0.0,134,0.000312,3
67,68,0.193146,2016-07-06 18:04:04,0.0,136,0.000312,3
68,69,0.185056,2016-07-06 18:04:04,0.0,138,0.000312,3
69,70,0.182844,2016-07-06 18:04:04,0.0,140,0.000312,3
70,71,0.18495899999999998,2016-07-06 18:04:04,0.0,142,0.000312,3
71,72,0.179269,2016-07-06 18:04:04,0.0,144,0.000312,3
72,73,0.19020399999999998,2016-07-06 18:04:04,0.0,146,0.000312,3
73,74,0.193168,2016-07-06 18:04:04,0.0,148,0.000312,3
74,75,0.18845399999999998,2016-07-06 18:04:04,0.0,150,0.000312,3
75,76,0.18445699999999998,2016-07-06 18:04:04,0.0,152,0.000312,3
76,77,0.189371,2016-07-06 18:04:04,0.0,154,0.000312,3
77,78,0.190626,2016-07-06 18:04:04,0.0,156,0.000312,3
78,79,0.189833,2016-07-06 18:04:04,0.0,158,0.000312,3
79,80,0.18504400000000001,2016-07-06 18:04:04,0.0,160,0.000312,3
80,81,0.178322,2016-07-06 18:04:04,0.0,162,0.000312,3
81,82,0.196213,2016-07-06 18:04:04,0.0,164,0.000312,3
82,83,0.193089,2016-07-06 18:04:04,0.0,166,0.000312,3
83,84,0.193448,2016-07-06 18:04:04,0.0,168,0.000312,3
84,85,0.184639,2016-07-06 18:04:04,0.0,170,0.000312,3
85,86,0.187325,2016-07-06 18:04:04,0.0,172,0.000312,3
86,87,0.186031,2016-07-06 18:04:04,0.0,174,0.000312,3
87,88,0.182308,2016-07-06 18:04:04,0.0,176,0.000312,3
88,89,0.184434,2016-07-06 18:04:04,0.0,178,0.000312,3
89,90,0.182952,2016-07-06 18:04:04,0.0,180,0.000312,3
90,91,0.18288900000000002,2016-07-06 18:04:04,0.0,182,0.000312,3
91,92,0.184257,2016-07-06 18:04:04,0.0,184,0.000312,3
92,93,0.182444,2016-07-06 18:04:04,0.0,186,0.000312,3
93,94,0.182775,2016-07-06 18:04:04,0.0,188,0.000312,3
94,95,0.193322,2016-07-06 18:04:04,0.0,190,0.000312,3
95,96,0.187057,2016-07-06 18:04:04,0.0,192,0.000312,3
96,97,0.198739,2016-07-06 18:04:04,0.0,194,0.000312,3
97,98,0.195683,2016-07-06 18:04:04,0.0,196,0.000312,3
98,99,0.188243,2016-07-06 18:04:04,0.0,198,0.000312,3
99,100,0.189554,2016-07-06 18:04:04,0.0,200,0.000312,3
100,101,0.185124,2016-07-06 18:04:04,0.0,350,0.000312,3
101,102,0.183995,2016-07-06 18:04:04,0.0,502,0.000312,3
102,103,0.175763,2016-07-06 18:04:04,0.0,657,0.000312,3
103,104,0.17586500000000002,2016-07-06 18:04:04,0.0,814,0.000312,3
104,105,0.15981099999999998,2016-07-06 18:04:04,0.0,973,0.000312,3
105,106,0.168009,2016-07-06 18:04:04,0.0,1134,0.000312,3
106,107,0.16501,2016-07-06 18:04:04,0.0,1298,0.000312,3
107,108,0.171213,2016-07-06 18:04:04,0.0,1465,0.000312,3
108,109,0.163659,2016-07-06 18:04:04,0.0,1634,0.000312,3
109,110,0.169132,2016-07-06 18:04:04,0.0,1805,0.000312,3
110,111,0.16513,2016-07-06 18:04:04,0.0,1979,0.000312,3
111,112,0.178043,2016-07-06 18:04:04,0.0,2156,0.000312,3
112,113,0.172952,2016-07-06 18:04:04,0.0,2336,0.000312,3
113,114,0.172986,2016-07-06 18:04:04,0.0,2518,0.000312,3
114,115,0.169372,2016-07-06 18:04:04,0.0,2702,0.000312,3
115,116,0.168733,2016-07-06 18:04:04,0.0,2890,0.000312,3
116,117,0.175335,2016-07-06 18:04:04,0.0,3080,0.000312,3
117,118,0.166954,2016-07-06 18:04:04,0.0,3273,0.000312,3
118,119,0.169497,2016-07-06 18:04:04,0.0,3470,0.000312,3
119,120,0.171823,2016-07-06 18:04:04,0.0,3669,0.000312,3
120,121,0.157918,2016-07-06 18:04:04,0.0,3871,0.000312,3
121,122,0.166207,2016-07-06 18:04:04,0.0,4076,0.000312,3
122,123,0.163659,2016-07-06 18:04:04,0.0,4284,0.000312,3
123,124,0.164149,2016-07-06 18:04:04,0.0,4495,0.000312,3
124,125,0.159252,2016-07-06 18:04:04,0.0,4709,0.000312,3
125,126,0.164987,2016-07-06 18:04:04,0.0,4927,0.000312,3
126,127,0.163477,2016-07-06 18:04:04,0.0,5148,0.000312,3
127,128,0.16759300000000002,2016-07-06 18:04:04,0.0,5372,0.000312,3
128,129,0.179668,2016-07-06 18:04:04,0.0,5600,0.000312,3
