wavelength,data
705,-0.005005465
706,-0.005006919
707,-0.004966221
708,-0.004904733
709,-0.004869988
710,-0.004846453
711,-0.004831314
712,-0.004773581
713,-0.004726209
714,-0.004612349
715,-0.004637093
716,-0.004654488
717,-0.004547058
718,-0.004489477
719,-0.004450616
720,-0.004353558
721,-0.004351919
722,-0.004314814
723,-0.004248267
724,-0.004119233
725,-0.004087023
726,-0.00405807
727,-0.004026535
728,-0.003907686
729,-0.003819093
730,-0.003672314
731,-0.003692267
732,-0.00350593
733,-0.003479965
734,-0.00333364
735,-0.003265802
736,-0.003177488
737,-0.003206163
738,-0.00314314
739,-0.003090849
740,-0.003050767
741,-0.002924605
742,-0.002942023
743,-0.003049116
744,-0.002880442
745,-0.002885314
746,-0.002889895
747,-0.003004814
748,-0.002804837
749,-0.002765558
750,-0.002827174
