,fo_r,fm_r,alpha1,tau1,alpha2,tau2,alpha3,tau3,rsq,bias,chi,for_err,fmr_err,alpha1_err,tau1_err,alpha2_err,tau2_err,alpha3_err,tau3_err,nfl,datetime
10,209.5133333333333,308.0370545953216,0.9080977505781451,100.00000000000001,0.21847049732833315,1148.3242801225338,0.3915384660708944,49999.775456443575,0.590245243530508,0.00013678467979325262,187.28776431825477,991.4947143882744,2370642202.70986,21850322.25116529,55952.54044468046,5256757.147363216,4541547.444758121,9421057.267650224,4039233.733259625,61.0,2017-01-13 22:45:18
11,206.26088665372006,299.9400083994675,0.6340122817839751,100.0000001224643,0.10000000000273272,1999.9999991742252,0.4725961129414129,30223.201130262903,0.5933712804589788,-1.371443458462001e-05,158.96152207070776,30.83381833509419,,,41161.7993610813,,11957219.77557305,,4848939.7724618185,61.0,2017-01-13 22:47:12
12,217.4772996707816,314.46007713557043,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999999998,0.4098869370665779,47647.66361470929,0.5898492185007416,0.00023968440767544656,176.8076427715866,26.800888075703007,1716900990.4245937,17703157.264134906,7690.9830385100495,1770314.4570236371,737921.6235784834,7256291.7206249,1482874.3427798296,61.0,2017-01-13 22:49:05
13,220.0974447457534,301.89000000000004,0.9954520872788682,100.00000000000001,0.10000000000000002,800.0000000000803,0.6076707026432955,41979.56501025502,0.5504100962237392,0.00024369524752146883,214.17288609779905,36.850527615062795,,,14342.40821871676,,1971129.9178892,,282076.21088314685,61.0,2017-01-13 22:50:59
14,196.3866666666666,296.49000000000007,0.8332126195877378,100.00000000000001,0.10000000000000002,1999.9999999999998,0.6597768657916921,49999.99999999994,0.5294778738264102,-0.00014239171422413306,213.3988928726663,2756.9620494216474,,,27036.341000979322,,5585942.950773235,,6251383.772683727,61.0,2017-01-13 22:52:53
15,212.40999999999997,344.61000000000007,0.6805601497197856,100.00000000000001,0.10000000000000002,1999.9999999999998,0.42658232931972595,49999.9999999771,0.6656837738416104,0.0001810176810134808,233.6838247530334,1239.0141207375777,3170474697.7482095,16321472.30669641,37292.5567493582,2398241.842237033,7501530.185117085,10230472.693483077,15173673.468676837,61.0,2017-01-13 22:54:47
16,216.13031619580178,277.68,0.6147907591994287,591.9094322039131,0.36817117827038126,1999.9928465321814,0.10000000000000002,49999.70237924618,0.372031230167728,0.00018732235212761105,220.10912945049424,66.76983717447013,3780381322.811248,37760406.92099391,932675.4145081968,22613135.54991638,9267189.772231795,6142001.01358801,247704206.85652277,61.0,2017-01-13 22:56:40
17,218.34416073287125,302.8500000000059,0.9731952457659113,100.00000000000001,0.10000000000000002,800.0000000008947,0.3398927851950201,36243.34175066765,0.5709773414288133,0.0002630830857422029,183.74831820570958,62.707525602416325,,,30068.317514120907,,554936.9724395514,,628451.9506708191,61.0,2017-01-13 22:58:34
18,203.95575906243639,292.86000000000007,0.5426155106544058,100.00000000000001,0.10000000000000002,1999.999999999999,0.4079189763317983,49999.99999999997,0.5926632625468415,8.936959354124626e-06,154.55030760778857,24.123638393686964,,,96746.518274469,,2860113.0718500665,,17535863.262576643,61.0,2017-01-13 23:00:27
19,214.86,280.44,0.5079662943648736,100.00000000000001,0.10000000000000002,1999.9999993025704,0.5660429983502262,14092.499353550282,0.4992248246795692,0.00010802981023539034,188.60775981217952,28.14497805607864,,,516622.53773829935,,9377725.995745761,,4113368.226967742,61.0,2017-01-13 23:02:21
20,208.1648593576387,294.98591992074813,0.9999999999999999,100.00000000000001,0.10000000000000002,800.0000000000001,0.3856349353607508,49999.9999824588,0.5562816704660964,6.437253839302337e-05,217.5387096341756,60.28216843748486,,,95801.09816864887,,3748556.4009369873,,11547774.7409609,61.0,2017-01-13 23:04:14
21,215.5336766185064,267.9001080521474,0.10000000000001945,762.9993226840104,0.3628511236399871,1364.0216293996016,0.5469382532359293,29782.035480571216,0.3207917248756824,9.453435737420857e-05,209.62374630210715,29.957327348484537,,,85923780.31722139,,37224406.396577045,,2833548.535848042,61.0,2017-01-13 23:06:08
22,213.75000000000003,286.5875893641726,0.8746417990502094,100.00000000000001,0.23736370579584068,800.000062791973,0.3947759055226216,21036.949022376324,0.4845335916529948,0.00021148464800073712,243.6767736769652,1266.6034149911613,,,3662.48335040639,,510910.46213519847,,9210183.980546389,61.0,2017-01-13 23:08:01
