,fo,fm,sigma,fvfm,rsq,bias,chi,fo_err,fm_err,sigma_err,nfl,datetime
0,0.15652875075080452,0.18953939314663984,101.07532730633793,0.1741624358282933,0.7201048878419288,0.05583722787700533,0.015001936105477634,0.002239795545201345,0.001812660559486204,19.026649570328956,100.0,2016-07-06 18:04:04
1,0.18871131877850678,0.22820088166972619,202.02623763763856,0.17304737213229712,0.681696204022372,0.0459352321242827,0.020812031653091326,0.0031183025211817474,0.0017668941356605954,36.972421009410205,100.0,2016-07-06 18:04:17
2,0.16331159783830398,0.20213454354657456,109.06945254109074,0.19206487435100494,0.7653845415351175,0.05294977818313845,0.015514695454410057,0.002270902683949764,0.0021777756622525742,19.399100755355988,100.0,2016-07-06 18:04:29
3,0.15991331655578597,0.1906741451476537,102.33679234955979,0.16132668940535833,0.691705619700857,0.05523266570042797,0.015027825608676628,0.0022454486894557778,0.0017757726594064172,20.470906926988512,100.0,2016-07-06 18:04:41
4,0.19128936771261432,0.23444580185742955,235.09188104765968,0.18407851112241025,0.7190315869246808,0.04455872465335423,0.01963598949206788,0.0032294350503447736,0.0014424951423690582,36.552747749224984,100.0,2016-07-06 18:04:53
5,0.16908485405584672,0.2112643131061256,155.46454769964967,0.1996525510159902,0.7606687629780168,0.04953873707551716,0.016299520727987783,0.0028555175196480816,0.0011952192805970226,21.25882955682478,100.0,2016-07-06 18:05:50
6,0.16264355572781777,0.19720457487364376,132.16166904989188,0.17525465201793877,0.7591729282198716,0.05277629654804057,0.011760118288155291,0.0023390658522600034,0.0010010101865066893,18.244878740106692,100.0,2016-07-06 18:06:02
7,0.19091356069838483,0.23427427797252875,197.1042937093257,0.18508526693326718,0.7155276116526158,0.044951149695067895,0.021185633605891537,0.0031342235801231112,0.0018507839719504695,33.71509426738768,100.0,2016-07-06 18:06:14
8,0.16798905186123242,0.20711587561947684,146.46129129903755,0.18891272164056647,0.7606140603456994,0.05052043045917198,0.014542744619209751,0.0026137415534994352,0.001195603274506016,20.55260894415825,100.0,2016-07-06 18:06:26
9,0.16458398879382777,0.19857926218865574,129.24647410032918,0.17119246501445617,0.7587224052794759,0.05240289839363063,0.011550328343870788,0.002292654169167271,0.00101329741327017,18.031532030167394,100.0,2016-07-06 18:06:38
10,0.1841529114913282,0.23928129509610185,211.33220793348855,0.2303915296957608,0.8393672537458609,0.044427369740200555,0.016159075978698798,0.0028192184773602872,0.0014824365982262838,24.185625088580206,100.0,2016-07-06 18:06:51
11,0.16811104088891907,0.2045546962484218,141.60067717403592,0.17816093215109405,0.7389840521398907,0.051083129684871796,0.014498312950650507,0.0025577717830174798,0.0012320201120691392,21.3731916644182,100.0,2016-07-06 18:07:03
12,0.1641532410746404,0.19666196413587544,105.95878792145305,0.16530254441461023,0.7843780616342381,0.05324176578131087,0.0097415284728102,0.0019438672375934568,0.0011756711993517732,15.159549721826147,100.0,2016-07-06 18:07:15
13,0.1885306548451959,0.23210199620694497,183.242354346307,0.18772497468268357,0.7397617682147619,0.04556462765479712,0.019610215964052224,0.0029089323319548975,0.0019402465402761778,30.72791936283277,100.0,2016-07-06 18:07:27
14,0.1688425981116356,0.2062469218531067,102.48621280447318,0.18135700356348214,0.7744223566366195,0.05146763790655091,0.01333036074017318,0.002187336293618317,0.0018142061189445396,16.843403688200397,100.0,2016-07-06 18:07:39
15,0.16313553464887076,0.19744321574315873,100.00000164498029,0.17375973626218003,0.7649029157442833,0.05330870873958909,0.012274093178480938,0.0021391531420055085,0.0014246354761173158,15.645664946160407,100.0,2016-07-06 18:07:51
16,0.18038232691638653,0.22766755329371532,213.86855834471208,0.20769418256243932,0.7663717891116795,0.046371547055954525,0.019560801596155815,0.0030560297506642088,0.0015790568500039562,30.687181036144597,100.0,2016-07-06 18:08:04
17,0.1748111979991913,0.2081749542875696,100.0000000225237,0.16026786893052536,0.7421873971956329,0.05067173593017622,0.012428278578642662,0.0021148942605222773,0.0018336960981494646,18.24340960165039,100.0,2016-07-06 18:08:16
18,0.16045286976765213,0.19269972033438607,135.17684848636074,0.1673424876319329,0.743572978818583,0.05386341723447802,0.011312391305796919,0.0022851654564749343,0.0009464811931559889,19.272413503133706,100.0,2016-07-06 18:08:28
19,0.18721908355197234,0.22950866995953123,203.92917733296846,0.18426138940640335,0.6833270096674979,0.04580848142045089,0.023608765688281946,0.0033283479906946554,0.001861190410913647,36.97449012428675,100.0,2016-07-06 18:08:40
20,0.1672444406436227,0.2053536991439686,157.91523871291255,0.1855786316935464,0.7987684271197377,0.05074340355534985,0.010740899296154746,0.0023131904984374316,0.00094789997985851,19.18992339293124,100.0,2016-07-06 18:08:52
21,0.18487978149850598,0.23535071913946784,216.87173957998328,0.21444989769099876,0.7719372773923435,0.04461358233281036,0.01968295367360499,0.003319890412174959,0.0013696790078165627,28.653651539385596,100.0,2016-07-06 18:09:37
22,0.1723274610376953,0.2120255960945972,102.89460553045882,0.18723274825361275,0.8117717057045094,0.049925954188844233,0.011587539209798896,0.0021296840513570507,0.0014980144017543587,14.236996158376114,100.0,2016-07-06 18:09:49
23,0.1686700918980324,0.20125122480890087,100.00000055642646,0.16189284284757052,0.7655180120643519,0.051938469439659296,0.010647742073016758,0.002068439082609842,0.0012119774520898455,14.957761056302488,100.0,2016-07-06 18:10:01
24,0.18520715887439543,0.2328008976804342,236.569961427723,0.20443967046626552,0.8041128424783779,0.044814747562971276,0.014207561001322509,0.002892183646679646,0.0010556840681199642,27.43519468520705,100.0,2016-07-06 18:10:13
