,flashlet_number,fyield,datetime,seq,seq_time,pfd
74,75.0,373.9,2017-01-13 22:26:21,0,75,0.00028443295999999995
75,76.0,380.4,2017-01-13 22:26:21,0,76,0.00028443295999999995
76,77.0,393.8,2017-01-13 22:26:21,0,77,0.00028443295999999995
77,78.0,387.3,2017-01-13 22:26:21,0,78,0.00028443295999999995
78,79.0,355.9,2017-01-13 22:26:21,0,79,0.00028443295999999995
79,80.0,368.8,2017-01-13 22:26:21,0,80,0.00028443295999999995
80,81.0,397.0,2017-01-13 22:26:21,0,81,0.00028443295999999995
81,82.0,396.9,2017-01-13 22:26:21,0,82,0.00028443295999999995
82,83.0,409.7,2017-01-13 22:26:21,0,83,0.00028443295999999995
83,84.0,404.0,2017-01-13 22:26:21,0,84,0.00028443295999999995
84,85.0,389.8,2017-01-13 22:26:21,0,85,0.00028443295999999995
85,86.0,405.8,2017-01-13 22:26:21,0,86,0.00028443295999999995
86,87.0,413.5,2017-01-13 22:26:21,0,87,0.00028443295999999995
87,88.0,383.4,2017-01-13 22:26:21,0,88,0.00028443295999999995
88,89.0,359.5,2017-01-13 22:26:21,0,89,0.00028443295999999995
89,90.0,369.8,2017-01-13 22:26:21,0,90,0.00028443295999999995
90,91.0,378.7,2017-01-13 22:26:21,0,91,0.00028443295999999995
91,92.0,361.3,2017-01-13 22:26:21,0,92,0.00028443295999999995
92,93.0,415.2,2017-01-13 22:26:21,0,93,0.00028443295999999995
93,94.0,387.5,2017-01-13 22:26:21,0,94,0.00028443295999999995
94,95.0,397.4,2017-01-13 22:26:21,0,95,0.00028443295999999995
95,96.0,381.3,2017-01-13 22:26:21,0,96,0.00028443295999999995
96,97.0,377.4,2017-01-13 22:26:21,0,97,0.00028443295999999995
97,98.0,397.0,2017-01-13 22:26:21,0,98,0.00028443295999999995
98,99.0,367.0,2017-01-13 22:26:21,0,99,0.00028443295999999995
99,100.0,367.0,2017-01-13 22:26:21,0,100,0.00028443295999999995
100,101.0,246.5,2017-01-13 22:26:21,0,160,0.00028443295999999995
101,102.0,269.1,2017-01-13 22:26:21,0,220,0.00028443295999999995
102,103.0,246.6,2017-01-13 22:26:21,0,280,0.00028443295999999995
103,104.0,265.7,2017-01-13 22:26:21,0,340,0.00028443295999999995
104,105.0,197.7,2017-01-13 22:26:21,0,400,0.00028443295999999995
105,106.0,260.5,2017-01-13 22:26:21,0,460,0.00028443295999999995
106,107.0,193.1,2017-01-13 22:26:21,0,520,0.00028443295999999995
107,108.0,261.4,2017-01-13 22:26:21,0,580,0.00028443295999999995
108,109.0,218.2,2017-01-13 22:26:21,0,640,0.00028443295999999995
109,110.0,292.3,2017-01-13 22:26:21,0,820,0.00028443295999999995
110,111.0,222.3,2017-01-13 22:26:21,0,1000,0.00028443295999999995
111,112.0,271.0,2017-01-13 22:26:21,0,1180,0.00028443295999999995
112,113.0,219.6,2017-01-13 22:26:21,0,1360,0.00028443295999999995
113,114.0,259.1,2017-01-13 22:26:21,0,1540,0.00028443295999999995
114,115.0,216.3,2017-01-13 22:26:21,0,2080,0.00028443295999999995
115,116.0,228.7,2017-01-13 22:26:21,0,2701,0.00028443295999999995
116,117.0,245.3,2017-01-13 22:26:21,0,3415,0.00028443295999999995
117,118.0,266.9,2017-01-13 22:26:21,0,4236,0.00028443295999999995
118,119.0,226.2,2017-01-13 22:26:21,0,5180,0.00028443295999999995
119,120.0,228.9,2017-01-13 22:26:21,0,6266,0.00028443295999999995
120,121.0,257.8,2017-01-13 22:26:21,0,7515,0.00028443295999999995
121,122.0,248.9,2017-01-13 22:26:21,0,8951,0.00028443295999999995
122,123.0,237.8,2017-01-13 22:26:21,0,10602,0.00028443295999999995
